,x
1,good
2,good
3,good
4,good
5,good
6,good
7,good
8,good
9,good
10,good
11,good
12,good
13,good
14,good
15,good
16,good
17,good
18,good
19,good
20,good
21,good
22,good
23,good
24,good
25,good
26,good
27,good
28,good
29,good
30,good
31,good
32,good
33,good
34,good
35,good
36,good
37,good
38,good
39,good
40,good
41,good
42,good
43,good
44,good
45,good
46,good
47,good
48,good
49,good
50,good
51,good
52,good
53,good
54,poor
55,poor
56,poor
57,poor
58,poor
59,poor
60,poor
61,poor
62,poor
63,poor
64,poor
65,poor
66,poor
67,poor
68,poor
69,poor
70,poor
71,poor
72,poor
73,poor
74,poor
75,poor
76,poor
77,poor
78,poor
79,good
80,good
81,good
82,good
83,good
84,good
85,good
86,good
87,good
88,good
89,good
90,good
91,good
92,good
93,good
94,good
95,good
96,good
97,good
98,good
99,good
100,good
101,good
102,good
103,good
104,good
105,good
106,good
107,good
108,good
109,poor
110,poor
111,poor
112,poor
113,poor
114,poor
115,poor
116,poor
117,poor
118,poor
119,poor
120,poor
121,poor
122,poor
123,poor
124,poor
125,poor
126,poor
127,good
128,good
129,good
130,good
131,good
132,good
133,good
134,good
135,good
136,good
137,good
138,good
139,good
140,good
141,good
142,good
143,good
144,good
145,good
146,good
147,good
148,good
149,good
150,good
151,good
152,good
153,good
154,good
155,poor
156,poor
157,poor
158,poor
159,poor
160,poor
161,poor
162,poor
163,poor
164,poor
165,poor
166,poor
167,poor
168,poor
